Figur;Geschlecht;Wohnort;Schicht
Dubslav;m;Stechlin;Adel
Woldemar;m;Berlin;Adel
Engelke;m;Stechlin;Dienstboten
Martin;m;Stechlin;Dienstboten
Mamsell Pritzbur;w;Stechlin;Dienstboten
Fritz;m;Berlin;Dienstboten
Lorenzen;m;Stechlin;Kleriker
Krippenstapel;m;Stechlin;Bürgertum
W. Katzler;m;Mark;Bürgertum
E. Katzler;w;Mark;Bürgertum
Herr Gundermann;m;Mark;Adel
Frau Gundermann;w;Mark;Adel
Kortschädel;m;Mark;Adel
Kluckhuhn;m;Stechlin;Bürgertum
Uncke;m;Stechlin;Bürgertum
Brose;m;Stechlin;Bürgertum
Adelheid;w;Wutz;Adel
Schmargendorf;w;Wutz;Adel
Triglaff;w;Wutz;Adel
Koseleger;m;Mark;Kleriker
Baruch;m;Mark;Bürgertum
Isidor;m;Mark;Bürgertum
Dr. Sponholz;m;Mark;Bürgertum
Dr. Moscheles;m;Mark;Bürgertum
v. Zühlen;m;Mark;Adel
v. Storbeck;m;Mark;Adel
v. Peerenboom;m;Mark;Adel
v. Molchow;m;Mark;Adel
v. Krangen;m;Mark;Adel
v. Gnewkow;m;Mark;Adel
Baron Beetz;m;Mark;Adel
v. Nonne;m;Mark;Adel
v. Blechernhahn;m;Mark;Adel
v. Kraatz;m;Mark;Adel
v. Alten-Friesack;m;Mark;Adel
Thormeyer;m;Mark;Bürgertum
Buschen;w;Stechlin;Nicht-Adel
Agnes;w;Stechlin;Nicht-Adel
Tuxen;w;Mark;Nicht-Adel
Graf Barby;m;Berlin;Adel
Melusine;w;Berlin;Adel
Armgard;w;Berlin;Adel
Baron Berchtesgaden;m;Berlin;Adel
Baronin Berchtesgaden;w;Berlin;Adel
Wrschowitz;m;Berlin;Bürgertum
Cujacius;m;Berlin;Bürgertum
Frommel;m;Berlin;Bürgertum
Dr. Pusch;m;Berlin;Bürgertum
v. Planta;m;Berlin;Adel
Jeserich;m;Berlin;Dienstboten
Imme;m;Berlin;Dienstboten
Frau Imme;w;Berlin;Dienstboten
Lizzi;w;Berlin;Bürgertum
Frau Schickedanz;w;Berlin;Bürgertum
Herr Schickedanz;m;Berlin;Dienstboten
Hartwig;m;Berlin;Dienstboten
Rudolf;m;Berlin;Dienstboten
Hedwig;w;Berlin;Dienstboten
Robinson;m;Berlin;Dienstboten
Rex;m;Berlin;Adel
Czako;m;Berlin;Adel
Szilagy;m;Berlin;Nicht-Adel
v. Wolfshagen;m;Berlin;Adel
v. Herbstfelde;m;Berlin;Adel
v. Wohlgemuth;m;Berlin;Adel
v. Grumbach;m;Berlin;Adel
v. Raspe;m;Berlin;Adel
Martins Frau;w;Stechlin;Dienstboten
Luckhardt;m;Mark;Bürgertum
Kirstein;m;Mark;Bürgertum
alter Globsower;m;Mark;Nicht-Adel
Wirt in Cremmen;m;Mark;Nicht-Adel
Gersonscher Livreediener;m;Berlin;Nicht-Adel
Schuljunge;m;Stechlin;Nicht-Adel
Berliner Besucher;m;Berlin;Unbekannt
Susan;w;London;Dienstboten
Frau Hartwig;w;Berlin;Dienstboten
