text;id;referierte_Figur
"Herr von Stechlin hat eben von einem der Humboldts gesprochen; nun, an Wilhelm von Humboldt trauen sie sich noch nicht recht heran, aber was Alexander von Humboldt konnte, das können sie nun schon lange.";99710;Alexander von Humboldt
"Herr von Stechlin hat eben von einem der Humboldts gesprochen; nun, an Wilhelm von Humboldt trauen sie sich noch nicht recht heran, aber was Alexander von Humboldt konnte, das können sie nun schon lange.";99710;Wilhelm von Humboldt
Koseleger voll Vertrauen! Na, dann geht es gewiß in die Brüche. Wo Koseleger amen sagt, das ist schon so gut wie Letzte Ölung. Er hat keine glückliche Hand, dieser Ihr Amtsbruder und Vorgesetzter.;361478;Koseleger
Und so wird es Woldemar auch machen?;750453;Woldemar
Und all das kaufte sich meine Mutter. Und an diesem Stereoskopenkasten, ein Wort, das ich damals noch nicht kannte, habe ich meine italienische Kunst gelernt.;209859;Czakos Mutter
Wir könnten es mit Katzler versuchen, aber da ist das Kind krank, und vielleicht stirbt es.;505177;W. Katzler
Nun ja, das war klug gedacht. Und daß dieser Nansen sich an die Sache ranmachte, das respektier ich, auch wenn schließlich nichts draus wurde. Bleibt immer noch ein Bravourstück. Gewiß, da sitzt nu so wer im Eise, sieht nichts, hört nichts, und wenn wer kommt, ist es höchstens ein Eisbär. Indessen, er freut sich doch, weil es wenigstens was Lebendiges ist. Ich darf sagen, ich hab einen Sinn für dergleichen. Aber trotzdem, Lorenzen, die Garde bei St. Privat ist doch mehr.;694214;Nansen
Ich muß es aber auf einem Umwege versuchen und Ihnen bei der Gelegenheit als Nächstes schildern, wie meine letzte Begegnung mit Lorenzen verlief. Er war, als ich bei ihm eintrat, in ersichtlich großer Erregung, und zwar über ein Büchelchen, das er in Händen hielt.;311631;Lorenzen
Woldemar macht mir natürlich kein Kopfzerbrechen, aber die Familie, der alte Stechlin. Armgard braucht selbstverständlich auf eine so delikate Frage nicht zu antworten, wenn sie nicht will, wiewohl erfahrungsmäßig ein Unterschied ist zwischen Schwiegermüttern und Schwiegervätern. Diese sind mitunter verbindlicher als der Sohn.;580359;Dubslav
"Engelke, schaff die Wabe weg; ich kann das süße Zeug nicht mehr sehn. Krippenstapel hat es gut gemeint. Aber es is nichts damit und überhaupt nichts mit der ganzen Heilkraft der Natur.";752762;Krippenstapel
Du sollst sehen, heute kommt Stechlin.;253463;Woldemar
