text;id;Sprecher
Vielleicht. Aber schlechte Musikanten. Alle Menschen sind Wetterfahnen, ein bißchen mehr, ein bißchen weniger. Und wir selber machen's auch so. Schwapp, sind wir auf der andern Seite.;361070;Dubslav
Na, die passen wenigstens. Diokletian war ja wohl der mit der Christenverfolgung. Aber ich glaube, es war am Ende nicht so schlimm. Verfolgt wird immer. Und mitunter sind die Verfolgten obenauf.;732803;Dubslav
Nein«, sagte Woldemar. »Ich kann es mir aber übersetzen und meine Schlüsse daraus ziehn.;441329;Woldemar
Ach Gott, gnäd'ger Herr, nu is es doch so gekommen.;663583;Engelke
»Das ist der Wulkowsche, Herr Hauptmann!«;199268;Fritz
Zu Befehl, Herr Rittmeister.;447381;Fritz
Ach, laß die ›Abers‹. Du sagst, sie wird wie die Karline. Möglich is es. Aber vielleicht wird sie auch 'ne Nonne. Man kann nie wissen.;723273;Dubslav
Bitte, stellen Sie hin.;217135;Melusine
Natürlich, ich am meisten.;473014;Melusine
Eine Definition, der ich mich durchaus anschließe. Aber, mein gnädigstes Fräulein, wenn ich vorschlagen dürfte, mit dieser herrlichen Gabe Gottes doch lieber bis zum Dessert zu warten. Das ist ja doch auch die eigentliche Zeit für Vielliebchen.;171495;Czako
"Und dann sind sie da forscher in Petersburg und geht alles mehr aus dem vollen, auch wenn die besten Steine mitunter schon rausgebrochen sind. So was kommt vor; is eben noch ein Naturvolk. Ich kann das ›Schenken‹ eigentlich nicht leiden, es hat so was von Bestechung und sieht aus wie 'n Trinkgeld. Und Trinkgeld ist noch schlimmer als Bestechung und paßt mir eigentlich ganz und gar nicht. Aber es hat doch auch wieder was Angenehmes, solche Tabatiere. Wenn es einem gut geht, ist es ein Familienstück, und wenn es einem schlecht geht, ist es 'ne letzte Zuflucht. Natürlich, ein ganz reinliches Gefühl hat man nicht dabei.";453418;Dubslav
"Schwer zu sagen. Aber es wird als Tatsache genommen. Und das ist ebensogut.
Blut sühnt
.";397416;Thormeyer
Ein bißchen graulich;26009;Czako
Na gut, Buschen. Wir wollen das alles so machen. Und ich bin nicht bloß ein geduldiger Kranker, ich bin auch ein gehorsamer Kranker. Nun will ich aber bloß noch wissen, was Ihr mir da in Euern Tüten schicken wollt, in der weißen und in der blauen. Is doch kein Geheimnis?;681927;Dubslav
